   OBS          S0          Sg
   346      -.34157     -.06769
   347      -.16154      .23768
   348      -.41156      .52091
   349       .71135      .78610
   350      1.17149     1.01343
   351      1.17987     1.20978
   352      1.24174     1.35894
   353      1.09191     1.47139
   354      1.12438     1.53403
   355      1.39250     1.55979
   356      1.23190     1.53756
   357      1.46569     1.48233
   358       .96936     1.38548
   359       .84082     1.26478
   360      1.25492     1.11422
   361      1.11440      .95337
   362       .71402      .77666
   363       .63444      .60276
   364       .40544      .42427
   365       .34131      .25783
   366       .38841      .09446
   367       .48355     -.05013
   368       .13320     -.18548
   369      -.09913     -.29660
   370      -.47251     -.39431
   371      -.42181     -.46550
   372      -.51429     -.52314
   373     -1.05998     -.55592
   374     -1.28033     -.57774
   375     -1.33888     -.57730
   376      -.80583     -.56808
   377      -.18802     -.53862
   378      -.19720     -.50302
   379      -.30764     -.45136
   380       .53398     -.39984
   381       .47384     -.34036
   382      -.00852     -.29003
   383      -.86717     -.24048
   384      -.73358     -.20755
   385      -.30911     -.18120
   386      -.57603     -.17565
   387      -.39480     -.17949
   388      -.21077     -.20555
   389      -.59626     -.24048
   390      -.41143     -.29420
   391      -.36579     -.34955
   392       .13918     -.41238
   393       .20585     -.46217
   394      -.39786     -.50299
   395      -.59093     -.51450
   396      -.16300     -.50278
   397       .12135     -.45068
   398       .55501     -.36791
   399      -.82699     -.24108
   400     -1.14022     -.08380
   401      -.63657      .11294
   402       .09288      .33035
   403       .60144      .57165
   404       .91321      .81238
   405      1.14581     1.05119
   406      1.44466     1.26118
   407      1.90493     1.44116
   408      1.60966     1.56675
   409      1.48059     1.64094
   410       .93956     1.64438
   411      1.35352     1.58541
   412      1.40541     1.45030
   413      1.06557     1.25359
   414      1.05253      .98863
   415       .66385      .67779
   416       .64735      .32223
   417      -.64136     -.04897
   418      -.54010     -.43014
   419      -.26985     -.79046
   420      -.25016    -1.12524
   421     -1.04654    -1.40663
   422     -1.44693    -1.63409
   423     -1.96454    -1.78457
   424     -1.41366    -1.86288
   425     -1.50401    -1.85232
   426     -2.38715    -1.76535
   427     -2.53126    -1.59411
   428     -2.60870    -1.36045
   429     -1.25665    -1.06520
   430      -.30817     -.73694
   431       .10352     -.38056
   432       .09900     -.02595
   433       .42993      .32280
   434       .53026      .63784
   435       .85027      .91783
   436      1.21793     1.13836
   437      1.61206     1.30266
   438      1.66182     1.39249
   439      1.57267     1.41885
   440      1.07116     1.37225
   441      1.31919     1.27217
   442      1.22351     1.11602
   443       .89511      .92778
   444       .68953      .70681
   445       .71681      .47721
   446      -.17205      .23752
   447      -.29474      .01073
   448      -.42181     -.20595
   449      -.65361     -.39163
   450     -1.09391     -.55255
   451     -1.42071     -.67287
   452      -.44643     -.76497
   453      -.46519     -.81911
   454      -.72706     -.85237
   455      -.77203     -.85751
   456     -1.08114     -.85190
   457      -.68488     -.82710
   458      -.15648     -.79900
   459      -.43911     -.75813
   460      -.52813     -.71996
   461      -.39693     -.67462
   462      -.29567     -.63639
   463      -.22607     -.59288
   464      -.70869     -.55487
   465     -1.20116     -.50652
   466     -1.23855     -.45636
   467      -.64722     -.38846
   468      -.19294     -.31332
   469      -.32401     -.21809
   470       .18230     -.11618
   471       .75779      .00350
   472       .89139      .12714
   473       .73464      .26603
   474       .93051      .40605
   475       .47277      .55696
   476       .56419      .70186
   477       .02475      .84743
